trump_word,trump_count,trump_frequency,trump_syllable,,obama_word,obama_frequency,obama_count,obama_syllable
god,130,0.000296153,1,,gave,1.71E-04,18,1
affordable,8,1.82E-05,4,,voted,0.000331549,35,1
california,129,0.000293874,4,,press,9.47E-05,10,1
failed,117,0.000266537,1,,isnt,4.64E-04,49,1
quickly,132,0.000300709,2,,weak,9.47E-06,1,1
information,131,0.000298431,4,,knows,1.71E-04,18,1
matter,92,0.000209585,2,,climate,0.001146213,121,2
truly,128,0.000291596,2,,businesses,0.000615734,65,3
wisconsin,121,0.00027565,3,,guy,1.89E-05,2,1
conference,125,0.000284762,3,,else,8.53E-05,9,1
able,94,0.000214141,2,,moving,3.88E-04,41,2
told,118,0.000268815,1,,welcome,0.000227348,24,2
lower,94,0.000214141,2,,top,0.000369441,39,1
large,131,0.000298431,1,,level,0.000123147,13,2
obamas,15,3.42E-05,3,,words,0.000142093,15,1
zero,128,0.000291596,2,,growth,0.000530479,56,1
higher,80,0.000182248,2,,please,0.000151565,16,1
happening,104,0.000236922,3,,thought,5.68E-05,6,1
move,75,0.000170857,1,,gun,9.28E-04,98,1
used,118,0.000268815,1,,went,3.79E-05,4,1
worse,128,0.000291596,1,,build,2.27E-04,24,1
prime,129,0.000293874,1,,james,9.47E-06,1,1
asked,112,0.000255147,1,,safety,6.63E-05,7,3
gone,124,0.000282484,1,,highest,9.47E-05,10,2
south,127,0.000289318,1,,americas,4.93E-04,52,4
signed,91,0.000207307,1,,allow,0.000113674,12,2
education,16,3.64E-05,4,,save,0.000322076,34,1
immediately,127,0.000289318,5,,built,0.000151565,16,1
become,114,0.000259703,2,,meet,0.000454696,48,1
russian,129,0.000293874,2,,taken,0.000113674,12,2
decision,111,0.000252869,3,,friend,0.000161038,17,1
finally,113,0.000257425,3,,stronger,0.00019893,21,2
drug,122,0.000277928,1,,voters,0.000312604,33,2
gave,110,0.000250591,1,,failing,9.47E-06,1,2
voted,93,0.000211863,1,,watching,8.53E-05,9,2
press,118,0.000268815,1,,ridiculous,9.47E-06,1,4
isnt,78,0.000177692,1,,politics,3.41E-04,36,3
weak,126,0.00028704,1,,stay,0.000265239,28,1
knows,109,0.000248313,1,,smart,9.47E-05,10,1
climate,6,1.37E-05,2,,agenda,9.47E-05,10,3
businesses,62,0.000141242,3,,virginia,1.04E-04,11,3
guy,123,0.000280206,1,,sad,9.47E-06,1,1
else,116,0.000264259,1,,college,9.09E-04,96,2
nice,125,0.000284762,1,,ive,0.000388386,41,1
moving,84,0.00019136,2,,laws,6.63E-05,7,1
welcome,101,0.000230088,2,,control,1.61E-04,17,2
perhaps,125,0.000284762,2,,race,0.000123147,13,1
top,85,0.000193638,1,,past,0.000293658,31,1
level,111,0.000252869,2,,veterans,0.000397859,42,3
words,109,0.000248313,1,,interest,0.000293658,31,3
growth,68,0.000154911,1,,billions,7.58E-05,8,2
please,108,0.000246034,1,,winning,3.79E-05,4,2
thought,118,0.000268815,1,,four,5.49E-04,58,1
gun,25,5.70E-05,1,,public,0.000161038,17,2
went,119,0.000271093,1,,lowest,0.000142093,15,2
build,99,0.000225532,1,,needed,5.68E-05,6,1
james,122,0.000277928,1,,address,7.01E-04,74,2
